"Based on the search results from February 27-28, 2026, the, latest news regarding ""OPS"" refers primarily to Tamil Nadu politician O. Panneerselvam (OPS) joining the Dravida Munnetra Kazhagam (DMK) party. 
Key Political Developments (As of Feb 27-28, 2026):
Joins DMK: Expelled AIADMK leader O. Panneerselvam (OPS) joined the ruling DMK party in Chennai, in the presence of Chief Minister and DMK President MK Stalin.
Attacks EPS: OPS strongly criticized AIADMK General Secretary Edappadi K. Palaniswami (EPS), calling him a ""dictator"" and alleging that EPS has made it impossible for the AIADMK to win future elections.
Family Joins: OPS's son, P. Ravindhranath Kumar, also joined the DMK ahead of the upcoming Tamil Nadu elections.
Reasons for Move: OPS stated his decision was to end a ""bitter experience"" within the AIADMK and praised CM Stalin for providing good governance.
Political Reaction: The move has caused significant political ripples in Tamil Nadu, with AIADMK leaders criticizing the move, while media highlights the shift as a major realignment ahead of the 2026 polls",0
Actor Vijay officially launched his political party “Tamizhaga Vetri Kazhagam (TVK)” and has announced that the party will actively contest in upcoming elections. Vijay has also stated that he will fully enter active politics after completing his current film commitments and has been conducting internal meetings to strengthen party structure across Tamil Nadu.,1
,0
,1
"A popular mobile application released a new software update on Monday. Soon after installing the update, users claimed that their phones overheated and stopped working permanently. Some social media posts said the update could destroy mobile devices within minutes. However, no official statement was released by the company, and the news spread rapidly through online forwards and unofficial websites.",1
"A popular mobile application released a new software update on Monday. Soon after installing the update, users claimed that their phones overheated and stopped working permanently. Some social media posts said the update could destroy mobile devices within minutes. However, no official statement was released by the company, and the news spread rapidly through online forwards and unofficial websites.",0
"The United Nations General Assembly adopted a resolution on February 24, 2026, expressing deep concern over the intensified conflict in Eastern Europe and calling for an immediate de-escalation of military activities",0
"The United Nations General Assembly adopted a resolution on February 24, 2026, expressing deep concern over the intensified conflict in Eastern Europe and calling for an immediate de-escalation of military activities",0
"On February 24, 2026, marking the fourth anniversary of Russia's full-scale invasion of Ukraine, the United Nations General Assembly (UNGA) adopted a resolution titled ""Support for lasting peace in Ukraine",0
"Coimbatore News (28 February 2026): Coimbatore district saw several significant developments today, with authorities appointing 127 Agricultural Extension Officers under the UATT-2.0 scheme to support farmers with government services, while health officials confirmed 36 new leprosy cases detected through active screening drives. Passenger traffic at Coimbatore International Airport reached 3.09 lakh in January, reflecting steady travel demand, though Coimbatore–Abu Dhabi flights were cancelled due to Middle East airspace tensions. Meanwhile, police seized ₹16.3 lakh of unaccounted cash during a vehicle check near the city, and experts warned of falling groundwater levels by over two metres, raising concerns about water scarcity in Coimbatore and nearby districts",0
